"ASN","abuser_score","abuser_rank","active","type","Entity"
"62052","0","Very Low","False","","BG | asnicom Eood"
"62079","0","Very Low","False","","ES | Ibernap Management S.L."
"62088","0","Very Low","False","","Sinarohost LTD"
"62228","0","Very Low","False","","CN | DMAR-AS Decision Marketing LTD,BG"
"62266","0","Very Low","False","","IR | NSGASN Networking Solutions Group,NL"
"62355","0","Very Low","False","","CH | Network Dedicated SAS"
"62471","0","Very Low","False","","SWITCHDATASOLUTIONS-AS - SupremeBytes, LLC, US"
"62519","0","Very Low","False","","US | CERTIFIEDHOST-ASN - Certified Host, LLC,US"
"62567","0","Very Low","False","","DIGITALOCEAN-ASN-NY2 - Digital Ocean, Inc., US"
"62601","0","Very Low","False","","US | Saturn Services LLC"
"62703","0","Very Low","False","","US | CONNECTIONET - Connectionet Solutions, US"
"62729","0","Very Low","False","","A Small Orange LLC"
"62741","0","Very Low","False","","VG | AS-IPL - IP Systems Limited, VG"
"62878","0","Very Low","False","","US | Xlitt"
"62899","0","Very Low","False","","Clarity Web Hosting Inc."
"62922","0","Very Low","False","","US | Clickjet Media"
"62927","0","Very Low","False","","US | Moose-Tec"
"63043","0","Very Low","False","","US | ZERO DDOS LLC"
"63128","0","Very Low","False","","Reliablehosting.com"
"63485","0","Very Low","False","","US | PATRIOT-ASN - Patriot Web Solutions, US"
"63761","0","Very Low","False","","Cong ty TNHH Dich vu truc tuyen Maxdata"
"63889","0","Very Low","False","","Cloud Iv Limited"
"63990","0","Very Low","False","","US | PROTRAFSOLUTIONS-AS-AP ProTraf Solutions LLC,AU"
"64035","0","Very Low","False","","AU | ZIRTUE-AS Zirtue, LLC, AU"
"64067","0","Very Low","False","hosting","HostCircle IT Solutions PVT LTD"
"64085","0","Very Low","False","","ZA | Safren Computer Services"
"65075","0","Very Low","False","","US | Private Use AS"
"80780","0","Very Low","False","","US | Clnetworks Inc"
"131321","0","Very Low","False","","US | FASTMAILPRESSLTD-AS-AP Fastmail Press LTD, GB"
"131334","0","Very Low","False","","JP | MAXHIGH-HK MAX HIGH,HK"
"131472","0","Very Low","False","","TH | DRAGONHISPEED-TH 807/315 m.8 Coocot,TH"
"131695","0","Very Low","False","","Xserver Inc."
"131788","0","Very Low","False","","AU | FUTURINT-IN FUTURISTIC INTERNET SERVICES PRIVATE LIMITED, IN"
"132071","0","Very Low","False","","Interhost Pacific Pty Ltd t/a Intervolve"
"132425","0","Very Low","False","","APC Hosting Pte Ltd"
"133229","0","Very Low","False","","Host Palace Internet Services"
"133696","0","Very Low","False","","Fastway Transmission Private Limited"
"133855","0","Very Low","False","","CN | INFOLINK-AS Infolink Communications,HK"
"133997","0","Very Low","False","","E and U Technology Services LLP"
"134426","0","Very Low","False","","Mahataa Information India Private Limited"
"135706","0","Very Low","False","","Ddc Broadband Pvt. Ltd."
"136800","0","Very Low","False","","ICIDC NETWORK"
"136933","0","Very Low","False","","Gigabitbank Global"
"136945","0","Very Low","False","","CN | TDL-AS-AP Teleneut Datacenters, Ltd., GB"
"139640","0","Very Low","False","","HK NEW CLOUD TECHNOLOGY LIMITED"
"196678","0","Very Low","False","","OOO Hosterov"
"196827","0","Very Low","False","","Credocom Hosting ApS"
"197043","0","Very Low","False","","DE | WEBTRAFFIC , DE"
"197145","0","Very Low","False","","UA | -Reserved AS-,ZZ"
"197286","0","Very Low","False","","CZ | ASJDMNET David Jarolimek,CZ"
"197372","0","Very Low","False","","NMA Hosting Solutions BV"
"197426","0","Very Low","False","","PT | BITCANAL-AS, PT"
"198047","0","Very Low","False","","UK Webhosting Ltd"
"198310","0","Very Low","False","business","OOO Molniya"
"198313","0","Very Low","False","","SystemHOST Limited"
"198375","0","Very Low","False","","INULOGIC SARL, FR"
"198414","0","Very Low","False","","Biznes-Host.pl sp. z o.o."
"199129","0","Very Low","False","","Next point Host EOOD."
"199176","0","Very Low","False","","CZ | ASGIGALYNX Gigalynx s.r.o."
"199213","0","Very Low","False","","Venzo Hosting A/S"
"199733","0","Very Low","False","","Extrahost GmbH"
"199847","0","Very Low","False","","SORTA-HOSTING-SMLLC"
"199874","0","Very Low","False","","RO | Total Solution IT Consulting SRL"
"200039","0","Very Low","False","","HYDRACOM-AS, GB"
"200074","0","Very Low","False","","IR | CITY_COMMERCE_BULGARIA-AS City Commerce Bulgaria Ltd"
"200079","0","Very Low","False","","ZA | MARKETOILBULGARIA-AS MarketOil Bulgaria Ltd,BG"
"200085","0","Very Low","False","","BG | POTOFGOLD_NETWORK-AS POTOFGOLD NETWORKS LLC"
"200137","0","Very Low","False","","BG | INNETWORKS-AS , BG"
"200141","0","Very Low","False","","RU | STOMP-NET-AS STOPM Ivaylo Gochev"
"200494","0","Very Low","False","","IN | TutisHost"
"200532","0","Very Low","False","","LLP Kompaniya Hoster.KZ"
"200775","0","Very Low","False","","PT | DATAPROM-LLC, US"
"200859","0","Very Low","False","","LT | SPSBUILDING, BG"
"201288","0","Very Low","False","","PE | DPT GROUP Ltd"
"201292","0","Very Low","False","","FR | BETECH BeTech Solution SASU,FR"
"201509","0","Very Low","False","","DE | Sky Capital Investments Ltd."
"201640","0","Very Low","False","","BR | MEGA-SPRED MEGA - SPRED LTD,BG"
"201813","0","Very Low","False","isp","SC ITNS.NET SRL"
"202118","0","Very Low","False","","Go Hosting S.P.R.L."
"202144","0","Very Low","False","","UA | TOV CHEMPIR"
"202171","0","Very Low","False","","US | RIJX Jessica Jaye Parker, trading as RIJX,EU"
"202413","0","Very Low","False","","UA | LLC "
"202436","0","Very Low","False","","UA | Ovcharov Oleksandr Mykhailovych"
"202469","0","Very Low","False","isp","SC ITNS.NET SRL"
"202470","0","Very Low","False","isp","Eurotelecom SRL"
"202699","0","Very Low","False","","Asser Al-Technologia Information Technology Company Limited"
"202702","0","Very Low","False","","RO | Jasper Findings LLC"
"202726","0","Very Low","False","","NO | SKYLINE, GB"
"202969","0","Very Low","False","","RU | LLC Avikom"
"203025","0","Very Low","False","isp","SC ITNS.NET SRL"
"203044","0","Very Low","False","","UA | WILLBOWGROUP-AS , UA"
"203418","0","Very Low","False","","CA | MARKETIGAMES_LLC, GB"
"203523","0","Very Low","False","","VIRTONO-NETWORKS, RO"
"203565","0","Very Low","False","","UA | UKRSPECLUX-AS, UA"
"203629","0","Very Low","False","","TERRAHOST_AS, NO"
"203631","0","Very Low","False","","RU | CONTEL-AS , RU"
"203950","0","Very Low","False","hosting","CONTRUST SOLUTIONS S.R.L."
